soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
2120000,25.0,1756.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1968.0,4400.0,Right of residence,1.0,1.0,2021
1800000,25.0,1760.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1967.0,960.0,Right of residence,1.0,1.0,2021
1975000,24.5,1706.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1967.0,3620.0,Right of residence,7.0,1.0,2021
1480000,24.0,1874.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1395000.0,1.0,1953.0,3620.0,Right of residence,6.0,1.0,2021
98000,23.5,1999.0,Mäklarbyrån,Tidaholms kommun,22.07,1.0,Apartment,98000.0,1.0,1959.0,5200.0,Right of residence,2.0,0.0,2021
2300000,24.9,2120.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1943.0,4127.0,Right of residence,1.0,1.0,2021
2370000,25.0,1454.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1695000.0,0.0,1936.0,4400.0,Right of residence,1.0,1.0,2021
4500000,23.0,3132.0,Svensk,Orust kommun,22.61,2.0,Villa,1995000.0,0.0,1961.0,4400.0,Right of ownership,2.0,0.0,2021
1295000,24.0,1553.0,SkandiaMäklarna,Göteborgs kommun,21.12,1.0,Apartment,1295000.0,0.0,1961.0,4400.0,Right of residence,2.0,0.0,2021
1950000,25.0,1818.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1795000.0,0.0,1947.0,1680.0,Right of residence,1.0,0.0,2021
1825000,25.0,2600.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,1750000.0,0.0,2015.0,4404.0,Right of residence,2.0,0.0,2021
1450000,24.0,1851.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1350000.0,0.0,1953.0,4200.0,Right of residence,2.0,1.0,2021
1055000,22.0,1530.0,Fastighetsbyrån,Ale kommun,21.87,1.0,Apartment,995000.0,0.0,1953.0,6760.0,Right of residence,3.0,0.0,2021
1840000,20.0,1472.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1695000.0,0.0,1981.0,1800.0,Right of residence,1.0,1.0,2021
135000,24.5,1764.0,Skara,Skara kommun,21.5,1.0,Apartment,150000.0,0.0,1965.0,5100.0,Right of residence,2.0,0.0,2021
1340000,22.0,1843.0,Fastighetsbyrån,Alingsås kommun,21.36,1.0,Apartment,1375000.0,0.0,2019.0,2500.0,Right of residence,3.0,1.0,2021
1950000,24.0,1543.0,Bjurfors,Mölndals kommun,20.51,1.0,Apartment,1695000.0,0.0,1942.0,5940.0,Right of residence,3.0,0.0,2021
600000,22.5,1453.0,Fastighetsbyrån,Borås kommun,21.31,1.0,Apartment,695000.0,0.0,1937.0,3873.0,Right of residence,3.0,0.0,2021
1700000,22.0,1269.0,SkandiaMäklarna,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1948.0,4400.0,Right of residence,3.0,0.0,2021
1980000,24.5,1686.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1970.0,4200.0,Right of residence,3.0,1.0,2021
1340000,23.0,1364.0,SkandiaMäklarna,Göteborgs kommun,21.12,1.0,Apartment,1295000.0,0.0,1961.0,3000.0,Right of residence,0.0,0.0,2021
2300000,25.0,3132.0,Fastighetsbyrån,Härryda kommun,20.5,1.0,Villa,1750000.0,0.0,1957.0,16680.0,Right of ownership,2.0,0.0,2021
1300000,23.0,1333.0,Länsförsäkringar,Lerums kommun,20.65,1.0,Apartment,1500000.0,0.0,1955.0,6600.0,Right of residence,1.0,0.0,2021
2630000,24.8,1854.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,2395000.0,1.0,2018.0,1568.0,Right of residence,7.0,1.0,2021
2050000,21.0,1546.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1981.0,2532.0,Right of residence,1.0,1.0,2021
1050000,22.0,1593.0,Fastighetsbyrån,Kungälvs kommun,21.44,1.0,Apartment,1150000.0,0.0,1984.0,3800.0,Right of residence,2.0,1.0,2021
1900000,22.0,1452.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1650000.0,0.0,1967.0,3620.0,Right of residence,2.0,0.0,2021
1400000,22.0,1733.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1395000.0,0.0,1939.0,2760.0,Right of residence,3.0,0.0,2021
1750000,24.5,1616.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,1750000.0,0.0,1932.0,2400.0,Right of residence,3.0,0.0,2021
1600000,21.0,1474.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1490000.0,0.0,1970.0,4200.0,Right of residence,-1.0,1.0,2021
2200000,23.0,1538.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,1.0,1939.0,4400.0,Right of residence,2.0,1.0,2021
1900000,24.2,1655.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1650000.0,0.0,1934.0,1740.0,Right of residence,2.0,0.0,2021
1815000,24.5,1627.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1969.0,4104.0,Right of residence,1.0,1.0,2021
1475000,21.0,1296.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1445000.0,0.0,1967.0,3192.0,Right of residence,2.0,0.0,2021
